"年月","指数类别","组别类别","基数年","指数","权数"
"201310","CCPI","1","Index : October 2014 - September 2015 = 100",104.1,0.4
"201310","CCPI","99","Index : October 2014 - September 2015 = 100",94.9,100
"201310","CCPI","8","Index : October 2014 - September 2015 = 100",96.6,1.46
"201310","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201310","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201310","CCPI","11","Index : October 2014 - September 2015 = 100",104.1,1.48
"201310","CCPI","12","Index : October 2014 - September 2015 = 100",98.7,7.98
"201310","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201311","CCPI","6","Index : October 2014 - September 2015 = 100",97.5,0.41
"201311","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201311","CCPI","4","Index : October 2014 - September 2015 = 100",97.8,1.18
"201311","CCPI","3","Index : October 2014 - September 2015 = 100",95,1.76
"201311","CCPI","2","Index : October 2014 - September 2015 = 100",109,0.55
"201311","CCPI","1","Index : October 2014 - September 2015 = 100",104.5,0.4
"201311","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201311","CCPI","99","Index : October 2014 - September 2015 = 100",95.2,100
"201311","CCPI","12","Index : October 2014 - September 2015 = 100",98.5,7.98
"201311","CCPI","11","Index : October 2014 - September 2015 = 100",102.7,1.48
"201311","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201311","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201311","CCPI","8","Index : October 2014 - September 2015 = 100",96.6,1.46
"201312","CCPI","1","Index : October 2014 - September 2015 = 100",103.4,0.4
"201312","CCPI","2","Index : October 2014 - September 2015 = 100",110.5,0.55
"201312","CCPI","3","Index : October 2014 - September 2015 = 100",95,1.76
"201312","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201312","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201312","CCPI","6","Index : October 2014 - September 2015 = 100",97.7,0.41
"201312","CCPI","99","Index : October 2014 - September 2015 = 100",95.6,100
"201312","CCPI","11","Index : October 2014 - September 2015 = 100",104.9,1.48
"201312","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201312","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201312","CCPI","8","Index : October 2014 - September 2015 = 100",95.9,1.46
"201312","CCPI","7","Index : October 2014 - September 2015 = 100",98.4,0.43
"201312","CCPI","12","Index : October 2014 - September 2015 = 100",99.1,7.98
"201401","CCPI","1","Index : October 2014 - September 2015 = 100",103.5,0.4
"201401","CCPI","2","Index : October 2014 - September 2015 = 100",111.4,0.55
"201401","CCPI","99","Index : October 2014 - September 2015 = 100",96.1,100
"201401","CCPI","12","Index : October 2014 - September 2015 = 100",99.5,7.98
"201401","CCPI","11","Index : October 2014 - September 2015 = 100",104.8,1.48
"201401","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201401","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201401","CCPI","8","Index : October 2014 - September 2015 = 100",95.9,1.46
"201401","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201401","CCPI","6","Index : October 2014 - September 2015 = 100",98.1,0.41
"201401","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201401","CCPI","4","Index : October 2014 - September 2015 = 100",97.8,1.18
"201401","CCPI","3","Index : October 2014 - September 2015 = 100",96.4,1.76
"201402","CCPI","1","Index : October 2014 - September 2015 = 100",103.9,0.4
"201402","CCPI","2","Index : October 2014 - September 2015 = 100",111.4,0.55
"201402","CCPI","4","Index : October 2014 - September 2015 = 100",97.2,1.18
"201402","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201402","CCPI","6","Index : October 2014 - September 2015 = 100",99,0.41
"201402","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201402","CCPI","3","Index : October 2014 - September 2015 = 100",96.8,1.76
"201402","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201402","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201402","CCPI","11","Index : October 2014 - September 2015 = 100",102.5,1.48
"201402","CCPI","12","Index : October 2014 - September 2015 = 100",99.2,7.98
"201402","CCPI","99","Index : October 2014 - September 2015 = 100",96.5,100
"201402","CCPI","8","Index : October 2014 - September 2015 = 100",95.9,1.46
"201403","CCPI","2","Index : October 2014 - September 2015 = 100",111.9,0.55
"201403","CCPI","1","Index : October 2014 - September 2015 = 100",102.1,0.4
"201403","CCPI","4","Index : October 2014 - September 2015 = 100",97.2,1.18
"201403","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201403","CCPI","6","Index : October 2014 - September 2015 = 100",99.3,0.41
"201403","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201403","CCPI","8","Index : October 2014 - September 2015 = 100",95.9,1.46
"201403","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201403","CCPI","10","Index : October 2014 - September 2015 = 100",92.3,0.24
"201403","CCPI","11","Index : October 2014 - September 2015 = 100",101.5,1.48
"201403","CCPI","12","Index : October 2014 - September 2015 = 100",99,7.98
"201403","CCPI","3","Index : October 2014 - September 2015 = 100",96.9,1.76
"201403","CCPI","99","Index : October 2014 - September 2015 = 100",96.3,100
"201404","CCPI","1","Index : October 2014 - September 2015 = 100",102.4,0.4
"201404","CCPI","99","Index : October 2014 - September 2015 = 100",97,100
"201404","CCPI","12","Index : October 2014 - September 2015 = 100",99.7,7.98
"201404","CCPI","11","Index : October 2014 - September 2015 = 100",101.4,1.48
"201404","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201404","CCPI","9","Index : October 2014 - September 2015 = 100",96.3,0.06
"201404","CCPI","8","Index : October 2014 - September 2015 = 100",98.8,1.46
"201404","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201404","CCPI","6","Index : October 2014 - September 2015 = 100",99.4,0.41
"201404","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201404","CCPI","2","Index : October 2014 - September 2015 = 100",112.4,0.55
"201404","CCPI","3","Index : October 2014 - September 2015 = 100",97,1.76
"201404","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201405","CCPI","1","Index : October 2014 - September 2015 = 100",102.7,0.4
"201405","CCPI","2","Index : October 2014 - September 2015 = 100",113.1,0.55
"201405","CCPI","3","Index : October 2014 - September 2015 = 100",97.4,1.76
"201405","CCPI","4","Index : October 2014 - September 2015 = 100",98,1.18
"201405","CCPI","5","Index : October 2014 - September 2015 = 100",97.1,0.01
"201405","CCPI","6","Index : October 2014 - September 2015 = 100",99.7,0.41
"201405","CCPI","7","Index : October 2014 - September 2015 = 100",99.9,0.43
"201405","CCPI","8","Index : October 2014 - September 2015 = 100",98.8,1.46
"201405","CCPI","9","Index : October 2014 - September 2015 = 100",96,0.06
"201405","CCPI","10","Index : October 2014 - September 2015 = 100",92.2,0.24
"201405","CCPI","11","Index : October 2014 - September 2015 = 100",102.2,1.48
"201405","CCPI","12","Index : October 2014 - September 2015 = 100",100,7.98
"201405","CCPI","99","Index : October 2014 - September 2015 = 100",96.9,100
"201406","CCPI","12","Index : October 2014 - September 2015 = 100",100.4,7.98
"201406","CCPI","11","Index : October 2014 - September 2015 = 100",103.4,1.48
