"关卡","年月","行驶方向","车辆种类","车流量"
"STK","201703","OB","36",18009
"STK","201704","OB","36",17363
"STK","201704","IB","36",10546
"STK","201704","OB","23",4614
"STK","201704","IB","23",4594
"STK","201704","OB","1",17821
"STK","201704","IB","1",17767
"STK","201705","IB","1",18608
"STK","201705","OB","1",18962
"STK","201705","IB","23",4639
"STK","201705","OB","23",4627
"STK","201705","IB","36",11355
"STK","201705","OB","36",19622
"STK","201706","IB","36",12658
"STK","201706","OB","36",20361
"STK","201706","OB","23",4518
"STK","201706","IB","23",4488
"STK","201706","OB","1",17699
"STK","201706","IB","1",17713
"STK","201707","IB","1",18674
"STK","201707","OB","1",18866
"STK","201707","IB","23",4289
"STK","201707","OB","23",4285
"STK","201707","IB","36",10495
"STK","201707","OB","36",18323
"STK","201708","IB","36",10362
"STK","201708","OB","36",18145
"STK","201708","OB","23",4124
"STK","201708","IB","23",4118
"STK","201708","OB","1",18079
"STK","201708","IB","1",17921
"STK","201709","OB","36",19433
"STK","201709","IB","36",11393
"STK","201709","OB","23",4561
"STK","201709","IB","23",4563
"STK","201709","OB","1",20110
"STK","201709","IB","1",20227
"STK","201710","IB","36",10038
"STK","201710","OB","23",4628
"STK","201710","IB","23",4631
"STK","201710","OB","1",19515
"STK","201710","IB","1",19355
"STK","201710","OB","36",16192
"STK","201711","IB","36",11507
"STK","201711","OB","23",4541
"STK","201711","IB","23",4539
"STK","201711","OB","1",19694
"STK","201711","IB","1",19650
"STK","201711","OB","36",17771
"STK","201712","IB","36",11542
"STK","201712","OB","36",17074
"STK","201712","IB","1",20101
"STK","201712","OB","1",19915
"STK","201712","IB","23",4555
"STK","201712","OB","23",4596
"STK","201801","IB","1",18353
"STK","201801","IB","36",12117
"STK","201801","OB","23",4602
"STK","201801","IB","23",4603
"STK","201801","OB","1",18566
"STK","201801","OB","36",17787
"STK","201802","OB","36",9445
"STK","201802","IB","36",6500
"STK","201802","OB","23",4081
"STK","201802","IB","23",4040
"STK","201802","OB","1",15125
"STK","201802","IB","1",15151
"STK","201803","OB","36",15218
"STK","201803","IB","36",11614
"STK","201803","OB","23",4702
"STK","201803","IB","23",4658
"STK","201803","OB","1",19622
"STK","201803","IB","1",19464
"STK","201804","IB","36",10740
"STK","201804","OB","23",4530
"STK","201804","IB","23",4536
"STK","201804","OB","1",17693
"STK","201804","IB","1",17632
