"年月","指数类别","组别类别","基数年","指数","权数"
"201312","CPIA","99","Index : October 2014 - September 2015 = 100",94.2,100
"201312","CPIA","11","Index : October 2014 - September 2015 = 100",102.2,0.89
"201312","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201312","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201312","CPIA","8","Index : October 2014 - September 2015 = 100",95.8,2.03
"201312","CPIA","7","Index : October 2014 - September 2015 = 100",98.3,0.27
"201312","CPIA","12","Index : October 2014 - September 2015 = 100",97.4,6.75
"201401","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201401","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201401","CPIA","11","Index : October 2014 - September 2015 = 100",102.9,0.89
"201401","CPIA","12","Index : October 2014 - September 2015 = 100",97.9,6.75
"201401","CPIA","99","Index : October 2014 - September 2015 = 100",94.8,100
"201401","CPIA","1","Index : October 2014 - September 2015 = 100",99.3,0.22
"201401","CPIA","2","Index : October 2014 - September 2015 = 100",111.4,0.15
"201401","CPIA","3","Index : October 2014 - September 2015 = 100",94.3,0.56
"201401","CPIA","4","Index : October 2014 - September 2015 = 100",97.8,1.83
"201401","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201401","CPIA","6","Index : October 2014 - September 2015 = 100",98.2,0.61
"201401","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201401","CPIA","8","Index : October 2014 - September 2015 = 100",95.8,2.03
"201402","CPIA","1","Index : October 2014 - September 2015 = 100",99.8,0.22
"201402","CPIA","2","Index : October 2014 - September 2015 = 100",111.4,0.15
"201402","CPIA","3","Index : October 2014 - September 2015 = 100",94.6,0.56
"201402","CPIA","4","Index : October 2014 - September 2015 = 100",97.1,1.83
"201402","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201402","CPIA","6","Index : October 2014 - September 2015 = 100",99,0.61
"201402","CPIA","7","Index : October 2014 - September 2015 = 100",99.9,0.27
"201402","CPIA","8","Index : October 2014 - September 2015 = 100",95.8,2.03
"201402","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201402","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201402","CPIA","11","Index : October 2014 - September 2015 = 100",100.5,0.89
"201402","CPIA","12","Index : October 2014 - September 2015 = 100",97.5,6.75
"201402","CPIA","99","Index : October 2014 - September 2015 = 100",95.5,100
"201403","CPIA","1","Index : October 2014 - September 2015 = 100",99.7,0.22
"201403","CPIA","2","Index : October 2014 - September 2015 = 100",111.9,0.15
