"关卡","年月","行驶方向","车辆种类","车流量"
"MKT","201804","IB","36",54758
"MKT","201804","OB","36",57745
"MKT","201805","IB","1",7773
"MKT","201805","OB","1",7897
"MKT","201805","IB","23",6007
"MKT","201805","OB","36",59479
"MKT","201805","IB","36",59309
"MKT","201805","OB","23",5553
"MKT","201806","OB","36",55429
"MKT","201806","IB","1",8080
"MKT","201806","OB","1",8156
"MKT","201806","IB","23",5728
"MKT","201806","OB","23",5131
"MKT","201806","IB","36",54757
"MKT","201807","OB","36",57347
"MKT","201807","IB","1",6416
"MKT","201807","OB","1",6466
"MKT","201807","IB","23",5377
"MKT","201807","OB","23",4708
"MKT","201807","IB","36",56245
"MKT","201808","OB","36",60042
"MKT","201808","IB","36",59524
"MKT","201808","OB","23",4340
"MKT","201808","IB","23",5015
"MKT","201808","IB","1",7672
"MKT","201808","OB","1",7626
"MKT","201809","IB","1",7912
"MKT","201809","OB","1",7990
"MKT","201809","IB","23",5156
"MKT","201809","OB","23",4653
"MKT","201809","IB","36",55640
"MKT","201809","OB","36",52221
"MKT","201810","IB","36",56623
"MKT","201810","OB","23",5321
"MKT","201810","IB","23",5945
"MKT","201810","OB","1",8001
"MKT","201810","IB","1",7940
"MKT","201810","OB","36",55586
"MKT","201811","IB","36",58165
"MKT","201811","OB","36",58340
"MKT","201811","IB","1",7586
"MKT","201811","OB","1",7599
"MKT","201811","IB","23",5298
"MKT","201811","OB","23",4813
"MKT","201812","IB","1",7633
"MKT","201812","OB","1",7647
"MKT","201812","OB","36",58087
"MKT","201812","OB","23",4475
"MKT","201812","IB","36",57987
"MKT","201812","IB","23",5272
"MKT","201901","OB","36",61288
"MKT","201901","IB","1",8337
"MKT","201901","OB","1",8435
"MKT","201901","IB","23",5709
"MKT","201901","OB","23",5152
"MKT","201901","IB","36",63010
"MKT","201902","OB","36",32208
"MKT","201902","IB","1",5128
"MKT","201902","OB","1",5098
"MKT","201902","IB","23",4575
"MKT","201902","OB","23",4572
"MKT","201902","IB","36",33667
"MKT","201903","OB","36",58949
"MKT","201903","IB","36",59016
"MKT","201903","OB","23",5346
"MKT","201903","IB","23",5266
"MKT","201903","IB","1",6687
"MKT","201903","OB","1",6651
"MKT","201904","IB","36",54730
"MKT","201904","OB","23",5084
"MKT","201904","IB","23",5234
"MKT","201904","OB","1",6356
"MKT","201904","IB","1",6206
"MKT","201904","OB","36",54887
"MKT","201905","IB","1",7144
"MKT","201905","OB","1",7201
"MKT","201905","IB","23",5406
"MKT","201905","OB","23",5269
"MKT","201905","IB","36",55527
"MKT","201905","OB","36",52785
"MKT","201906","OB","1",6732
"MKT","201906","IB","1",6520
"MKT","201906","IB","23",4979
"MKT","201906","OB","23",4912
"MKT","201906","IB","36",52652
"MKT","201906","OB","36",48029
"MKT","201907","OB","1",7420
"MKT","201907","IB","1",7095
"MKT","201907","IB","23",4611
"MKT","201907","OB","23",4637
"MKT","201907","IB","36",58491
"MKT","201907","OB","36",53719
"MKT","201908","IB","1",6387
"MKT","201908","OB","1",6609
"MKT","201908","IB","23",4136
"MKT","201908","OB","23",4313
"MKT","201908","IB","36",56644
"MKT","201908","OB","36",52487
"MKT","201909","OB","1",6301
"MKT","201909","IB","1",6124
"MKT","201909","IB","23",4942
"MKT","201909","OB","36",50043
"MKT","201909","IB","36",53462
"MKT","201909","OB","23",5003
"MKT","201910","IB","1",6412
"MKT","201910","OB","1",6763
"MKT","201910","IB","23",5391
"MKT","201910","OB","23",5349
"MKT","201910","IB","36",51399
"MKT","201910","OB","36",48884
"MKT","201911","IB","23",4916
"MKT","201911","OB","36",51321
"MKT","201911","OB","23",4710
"MKT","201911","IB","36",54008
"MKT","201911","OB","1",6399
"MKT","201911","IB","1",6115
"MKT","201912","OB","36",52946
"MKT","201912","IB","36",56548
"MKT","201912","OB","23",4982
"MKT","201912","IB","23",5122
"MKT","201912","OB","1",6441
"MKT","201912","IB","1",6081
"MKT","202001","OB","1",5559
"MKT","202001","OB","23",4616
"MKT","202001","IB","36",43824
"MKT","202001","OB","36",39926
"MKT","202001","IB","1",5403
"MKT","202001","IB","23",4737
"MKT","202002","IB","36",32923
"MKT","202002","IB","1",0
"MKT","202002","OB","36",29272
"MKT","202002","OB","23",0
"MKT","202002","IB","23",0
"MKT","202002","OB","1",0
"MKT","202003","OB","36",47072
"MKT","202003","IB","36",49682
"MKT","202003","OB","23",0
"MKT","202003","IB","23",0
"MKT","202003","IB","1",0
"MKT","202003","OB","1",0
"MKT","202004","IB","23",0
"MKT","202004","OB","1",0
"MKT","202004","IB","1",0
"MKT","202004","OB","36",44028
"MKT","202004","IB","36",51538
"MKT","202004","OB","23",0
"MKT","202005","IB","1",0
"MKT","202005","OB","1",0
"MKT","202005","IB","23",0
"MKT","202005","OB","23",0
"MKT","202005","IB","36",54761
"MKT","202005","OB","36",47044
"MKT","202006","IB","36",55704
"MKT","202006","OB","23",0
"MKT","202006","IB","23",0
"MKT","202006","OB","1",0
"MKT","202006","IB","1",0
"MKT","202006","OB","36",47855
"MKT","202007","OB","23",0
"MKT","202007","IB","36",56797
"MKT","202007","OB","36",47946
"MKT","202007","IB","23",0
"MKT","202007","IB","1",0
"MKT","202007","OB","1",0
"MKT","202008","OB","36",43647
"MKT","202008","IB","36",52295
"MKT","202008","OB","23",0
"MKT","202008","IB","23",0
"MKT","202008","OB","1",0
"MKT","202008","IB","1",0
"MKT","202009","IB","36",52042
"MKT","202009","OB","36",41516
"MKT","202009","OB","23",0
"MKT","202009","IB","23",0
"MKT","202009","OB","1",0
"MKT","202009","IB","1",0
"MKT","202010","IB","36",49324
"MKT","202010","OB","23",0
"MKT","202010","IB","23",0
"MKT","202010","OB","1",0
"MKT","202010","IB","1",0
"MKT","202010","OB","36",39260
"MKT","202011","IB","1",0
"MKT","202011","OB","1",0
"MKT","202011","IB","23",0
"MKT","202011","OB","23",0
"MKT","202011","OB","36",39260
"MKT","202011","IB","36",52098
"MKT","202012","OB","36",40665
"MKT","202012","IB","36",54045
"MKT","202012","OB","23",0
"MKT","202012","IB","23",0
"MKT","202012","OB","1",0
"MKT","202012","IB","1",0
"MKT","202101","IB","36",50974
"MKT","202101","OB","36",40116
"MKT","202101","OB","23",0
"MKT","202101","IB","23",0
"MKT","202101","OB","1",0
"MKT","202101","IB","1",0
"MKT","202102","OB","36",20982
"MKT","202102","IB","36",26616
"MKT","202102","IB","23",0
"MKT","202102","OB","23",0
"MKT","202102","OB","1",0
"MKT","202102","IB","1",0
"MKT","202103","IB","23",0
"MKT","202103","OB","1",0
"MKT","202103","IB","1",0
"MKT","202103","IB","36",27897
"MKT","202103","OB","36",24994
"MKT","202103","OB","23",0
"MKT","202104","IB","36",29968
"MKT","202104","OB","23",0
"MKT","202104","IB","23",0
"MKT","202104","OB","1",0
"MKT","202104","IB","1",0
"MKT","202104","OB","36",27868
"MKT","202105","IB","36",33599
"MKT","202105","IB","1",0
"MKT","202105","OB","1",0
"MKT","202105","IB","23",0
"MKT","202105","OB","23",0
"MKT","202105","OB","36",31245
"MKT","202106","OB","36",34766
"MKT","202106","IB","36",35992
"MKT","202106","OB","23",0
"MKT","202106","IB","23",0
"MKT","202106","IB","1",0
"MKT","202106","OB","1",0
"MKT","202107","OB","36",33100
"MKT","202107","IB","36",34888
"MKT","202107","OB","23",0
"MKT","202107","IB","23",0
"MKT","202107","OB","1",0
"MKT","202107","IB","1",0
"MKT","202108","OB","36",33413
"MKT","202108","IB","1",0
"MKT","202108","OB","1",0
"MKT","202108","IB","23",0
"MKT","202108","OB","23",0
"MKT","202108","IB","36",34637
"MKT","202109","IB","1",0
"MKT","202109","OB","1",0
"MKT","202109","IB","23",0
"MKT","202109","OB","23",0
"MKT","202109","IB","36",34290
"MKT","202109","OB","36",34387
"MKT","202110","IB","1",0
"MKT","202110","OB","1",0
"MKT","202110","IB","23",0
"MKT","202110","OB","23",0
"MKT","202110","IB","36",33589
"MKT","202110","OB","36",34055
"MKT","202111","OB","36",35070
"MKT","202111","IB","36",35466
"MKT","202111","OB","23",0
"MKT","202111","IB","23",0
"MKT","202111","IB","1",0
"MKT","202111","OB","1",0
"MKT","202112","IB","36",37931
"MKT","202112","OB","23",0
"MKT","202112","IB","23",0
"MKT","202112","OB","1",0
"MKT","202112","IB","1",0
"MKT","202112","OB","36",39460
"MKT","202201","IB","36",38320
"MKT","202201","OB","23",0
"MKT","202201","IB","23",0
"MKT","202201","IB","1",0
"MKT","202201","OB","1",0
"MKT","202201","OB","36",39649
"MKT","202202","IB","36",12319
"MKT","202202","OB","23",0
"MKT","202202","IB","23",0
"MKT","202202","OB","1",0
"MKT","202202","IB","1",0
"MKT","202202","OB","36",10733
"MKT","202203","OB","1",0
"MKT","202203","IB","23",0
"MKT","202203","OB","23",0
"MKT","202203","IB","36",13389
"MKT","202203","OB","36",12887
"MKT","202203","IB","1",0
"MKT","202204","OB","1",0
"MKT","202204","IB","23",0
"MKT","202204","OB","23",0
"MKT","202204","IB","36",20133
"MKT","202204","OB","36",20147
"MKT","202204","IB","1",0
"MKT","202205","OB","1",0
"MKT","202205","IB","1",0
"MKT","202205","IB","23",0
"MKT","202205","OB","36",25436
"MKT","202205","IB","36",25552
"MKT","202205","OB","23",0
"MKT","202206","IB","1",0
"MKT","202206","OB","1",0
"MKT","202206","IB","23",0
"MKT","202206","OB","23",0
"MKT","202206","IB","36",27851
"MKT","202206","OB","36",27732
"MKT","202207","OB","36",30220
"MKT","202207","IB","1",0
"MKT","202207","OB","1",0
"MKT","202207","IB","23",0
"MKT","202207","OB","23",0
"MKT","202207","IB","36",30326
"MKT","202208","OB","1",0
"MKT","202208","IB","23",0
"MKT","202208","OB","23",0
"MKT","202208","IB","36",22382
"MKT","202208","OB","36",22325
"MKT","202208","IB","1",0
"MKT","202209","IB","1",0
"MKT","202209","OB","1",0
"MKT","202209","IB","36",23139
"MKT","202209","OB","23",0
"MKT","202209","IB","23",0
"MKT","202209","OB","36",23098
"MKT","202210","IB","1",0
"MKT","202210","OB","1",0
"MKT","202210","IB","23",0
"MKT","202210","OB","23",0
"MKT","202210","IB","36",23994
"MKT","202210","OB","36",23872
"MKT","202211","IB","1",0
"MKT","202211","OB","1",0
"MKT","202211","IB","23",0
"MKT","202211","OB","23",0
"MKT","202211","IB","36",25019
"MKT","202211","OB","36",24976
"MKT","202212","IB","36",26109
"MKT","202212","OB","36",26312
"MKT","202212","IB","1",0
"MKT","202212","OB","1",0
"MKT","202212","IB","23",0
"MKT","202212","OB","23",0
"MKT","202301","IB","1",306
"MKT","202301","OB","1",322
"MKT","202301","OB","36",23062
"MKT","202301","IB","23",2860
"MKT","202301","OB","23",2751
"MKT","202301","IB","36",22663
"MKT","202302","IB","1",1561
"MKT","202302","OB","1",1568
"MKT","202302","OB","23",3437
"MKT","202302","IB","36",20310
"MKT","202302","OB","36",22366
"MKT","202302","IB","23",3564
"MKT","202303","IB","1",2795
"MKT","202303","OB","1",2801
"MKT","202303","IB","23",4390
"MKT","202303","OB","23",4418
"MKT","202303","IB","36",26367
"MKT","202303","OB","36",28688
"MKT","202304","OB","36",27118
"MKT","202304","IB","36",24819
"MKT","202304","OB","23",3740
"MKT","202304","IB","23",3746
"MKT","202304","IB","1",3225
"MKT","202304","OB","1",3197
"MKT","202305","OB","36",29975
"MKT","202305","IB","36",27850
"MKT","202305","OB","23",3708
"MKT","202305","IB","23",3671
"MKT","202305","OB","1",3190
"MKT","202305","IB","1",3264
"MKT","202306","OB","36",29763
"MKT","202306","IB","1",3336
"MKT","202306","OB","1",3313
"MKT","202306","IB","23",3606
"MKT","202306","OB","23",3604
"MKT","202306","IB","36",27642
"MKT","202307","IB","36",27433
"MKT","202307","OB","36",11590
"MKT","202307","IB","1",3327
"MKT","202307","OB","1",2512
"MKT","202307","IB","23",2721
"MKT","202307","OB","23",2294
"MKT","202308","OB","23",3236
"MKT","202308","IB","36",28490
"MKT","202308","IB","23",3288
"MKT","202308","OB","1",3673
"MKT","202308","IB","1",3764
"MKT","202308","OB","36",29670
"MKT","202309","OB","1",716
"MKT","202309","IB","1",722
"MKT","202309","IB","23",574
"MKT","202309","OB","36",5949
"MKT","202309","IB","36",5776
"MKT","202309","OB","23",559
"MKT","202310","IB","36",8032
"MKT","202310","OB","23",0
"MKT","202310","IB","1",0
"MKT","202310","OB","1",0
"MKT","202310","IB","23",0
"MKT","202310","OB","36",9995
"MKT","202311","OB","36",27487
"MKT","202311","IB","36",25186
"MKT","202311","OB","23",2095
"MKT","202311","IB","23",2085
"MKT","202311","IB","1",2018
"MKT","202311","OB","1",2000
"MKT","202312","IB","36",27449
"MKT","202312","OB","23",3171
"MKT","202312","IB","23",3145
"MKT","202312","OB","1",3645
"MKT","202312","IB","1",3698
"MKT","202312","OB","36",28687
"MKT","202401","OB","36",31778
"MKT","202401","IB","36",30159
"MKT","202401","OB","23",2939
"MKT","202401","IB","23",2970
"MKT","202401","OB","1",3904
"MKT","202401","IB","1",3962
"MKT","202402","OB","36",19371
"MKT","202402","IB","36",19446
"MKT","202402","OB","23",2588
"MKT","202402","IB","23",2587
"MKT","202402","OB","1",3371
"MKT","202402","IB","1",3398
"MKT","202403","IB","36",25894
"MKT","202403","OB","36",27650
"MKT","202403","IB","1",3955
"MKT","202403","OB","1",3945
"MKT","202403","IB","23",2807
"MKT","202403","OB","23",2857
"MKT","202404","IB","1",3929
"MKT","202404","OB","1",3939
"MKT","202404","IB","23",2727
"MKT","202404","OB","23",2729
"MKT","202404","IB","36",26315
"MKT","202404","OB","36",27767
"MKT","202405","OB","36",29446
"MKT","202405","IB","36",28193
"MKT","202405","OB","23",2969
"MKT","202405","IB","23",2942
"MKT","202405","OB","1",4091
"MKT","202405","IB","1",4090
"MKT","202406","IB","36",28106
"MKT","202406","OB","36",29530
"MKT","202406","OB","23",2807
"MKT","202406","IB","23",2795
"MKT","202406","OB","1",4067
"MKT","202406","IB","1",4052
"MKT","202407","IB","1",4454
"MKT","202407","OB","1",4498
"MKT","202407","IB","23",2905
"MKT","202407","OB","36",31279
"MKT","202407","IB","36",30168
"MKT","202407","OB","23",2897
"MKT","202408","OB","36",31581
"MKT","202408","IB","36",30072
"MKT","202408","OB","23",2834
"MKT","202408","IB","23",2850
"MKT","202408","IB","1",4578
"MKT","202408","OB","1",4569
"MKT","202409","IB","36",29297
"MKT","202409","OB","23",2939
"MKT","202409","IB","23",2960
"MKT","202409","OB","1",4565
"MKT","202409","IB","1",4501
"MKT","202409","OB","36",30559
"MKT","202410","OB","36",31017
"MKT","202410","IB","36",29999
"MKT","202410","OB","23",3231
"MKT","202410","IB","23",3268
"MKT","202410","IB","1",4535
"MKT","202410","OB","1",4511
"MKT","202411","IB","36",30511
"MKT","202411","IB","1",4298
"MKT","202411","OB","1",4359
"MKT","202411","IB","23",3175
"MKT","202411","OB","23",3109
"MKT","202411","OB","36",32360
"MKT","202412","OB","36",34181
"MKT","202412","OB","23",3407
"MKT","202412","IB","36",32146
"MKT","202412","IB","23",3441
"MKT","202412","OB","1",4681
"MKT","202412","IB","1",4640
"MKT","202501","IB","36",31376
"MKT","202501","OB","23",3245
"MKT","202501","IB","23",3305
"MKT","202501","OB","1",4691
"MKT","202501","IB","1",4650
"MKT","202501","OB","36",32608
"MKT","202502","IB","1",3957
"MKT","202502","OB","1",3903
"MKT","202502","IB","23",3105
"MKT","202502","OB","23",3057
"MKT","202502","IB","36",23068
"MKT","202502","OB","36",24209
"MKT","202503","IB","36",31368
"MKT","202503","OB","23",3505
"MKT","202503","IB","23",3577
"MKT","202503","OB","1",4781
"MKT","202503","IB","1",4840
