"关卡","年月","行驶方向","车辆种类","车流量"
"SZB","201911","IB","1",121002
"SZB","201911","OB","1",122360
"SZB","201911","IB","23",5506
"SZB","201911","OB","23",5878
"SZB","201911","IB","36",64523
"SZB","201911","OB","36",55159
"SZB","201912","IB","36",64981
"SZB","201912","OB","36",57488
"SZB","201912","IB","1",127540
"SZB","201912","OB","1",128926
"SZB","201912","IB","23",5771
"SZB","201912","OB","23",5945
"SZB","202001","IB","1",122944
"SZB","202001","OB","1",123064
"SZB","202001","IB","23",5237
"SZB","202001","OB","36",44529
"SZB","202001","OB","23",5560
"SZB","202001","IB","36",47981
"SZB","202002","OB","23",885
"SZB","202002","IB","36",33389
"SZB","202002","OB","36",27975
"SZB","202002","IB","1",23094
"SZB","202002","IB","23",1020
"SZB","202002","OB","1",23314
"SZB","202003","OB","36",51667
"SZB","202003","IB","36",58033
"SZB","202003","OB","23",209
"SZB","202003","IB","23",610
"SZB","202003","IB","1",1500
"SZB","202003","OB","1",2235
"SZB","202004","IB","36",64623
"SZB","202004","OB","23",68
"SZB","202004","IB","23",262
"SZB","202004","OB","1",211
"SZB","202004","IB","1",347
"SZB","202004","OB","36",66910
"SZB","202005","IB","1",515
"SZB","202005","OB","1",301
"SZB","202005","IB","23",221
"SZB","202005","OB","23",73
"SZB","202005","IB","36",68790
"SZB","202005","OB","36",64609
"SZB","202006","OB","36",57587
"SZB","202006","OB","1",444
"SZB","202006","OB","23",53
"SZB","202006","IB","23",346
"SZB","202006","IB","36",64585
"SZB","202006","IB","1",549
"SZB","202007","IB","1",369
"SZB","202007","OB","36",65894
"SZB","202007","IB","36",71024
"SZB","202007","OB","23",88
"SZB","202007","IB","23",303
"SZB","202007","OB","1",454
"SZB","202008","OB","1",200
"SZB","202008","IB","23",332
"SZB","202008","OB","23",20
"SZB","202008","IB","36",76051
"SZB","202008","OB","36",73273
"SZB","202008","IB","1",203
"SZB","202009","IB","1",239
"SZB","202009","IB","23",331
"SZB","202009","OB","23",66
"SZB","202009","IB","36",74463
"SZB","202009","OB","1",228
"SZB","202009","OB","36",71304
"SZB","202010","OB","1",240
"SZB","202010","OB","36",65864
"SZB","202010","IB","36",70897
"SZB","202010","IB","1",196
"SZB","202010","IB","23",262
"SZB","202010","OB","23",40
"SZB","202011","OB","36",70967
"SZB","202011","IB","36",76287
"SZB","202011","OB","1",221
"SZB","202011","IB","23",186
"SZB","202011","OB","23",62
"SZB","202011","IB","1",174
"SZB","202012","IB","23",107
"SZB","202012","OB","23",74
"SZB","202012","IB","36",78527
"SZB","202012","OB","36",71555
"SZB","202012","OB","1",298
