"年月","关口","抵港或离港","人次"
"201312","KTCT","DB",35418
"201312","RTT","DB",2
"201312","RTT","AV",6
"201312","LMC","DB",1105572
"201312","LMC","AV",1323547
"201312","MKT","AV",169859
"201312","SZB","DB",1516708
"201312","SZB","AV",1495475
"201312","STK","AV",147008
"201312","MFT","AV",750818
"201312","KTCT","AV",35537
"201312","AIR","AV",1878139
"201312","CFT","AV",392524
"201312","CFT","DB",455250
"201312","HHS","AV",202748
"201312","LWT","DB",4017297
"201312","TMFT","AV",0
"201312","HHS","DB",201189
"201312","HARB","DB",2019
"201312","MFT","DB",889901
"201312","HARB","AV",2663
"201312","LWT","AV",3821563
"201401","TMFT","AV",0
"201401","HHS","AV",196174
"201401","LWT","DB",4123528
"201401","LMC","AV",1234450
"201401","SZB","DB",1649846
"201401","CFT","DB",413067
"201401","STK","AV",153029
"201401","MFT","AV",639177
"201401","CFT","AV",354641
"201401","HARB","DB",1970
"201401","AIR","AV",1666135
"201401","HHS","DB",201486
"201401","STK","DB",147853
"201401","TMFT","DB",0
"201401","HARB","AV",2376
"201401","LMCSL","AV",2271057
"201401","LMC","DB",1107511
"201401","RTT","DB",2
"201401","RTT","AV",2
"201401","MKT","DB",118646
"201401","MFT","DB",725050
"201401","AIR","DB",1830595
"201401","SZB","AV",1588417
"201401","KTCT","DB",39503
"201401","MKT","AV",188338
"201401","LWT","AV",3686331
"201401","KTCT","AV",41852
"201401","LMCSL","DB",2219776
"201402","HHS","AV",175992
"201402","SZB","DB",1344662
"201402","CFT","AV",362601
"201402","MFT","AV",687348
"201402","HARB","DB",1318
"201402","MKT","AV",131881
"201402","MKT","DB",88536
"201402","AIR","DB",1477524
"201402","SZB","AV",1351656
"201402","HARB","AV",2456
"201402","LWT","AV",3277686
"201402","AIR","AV",1784015
"201402","STK","DB",112847
"201402","LMC","AV",1145896
"201402","KTCT","DB",46665
"201402","RTT","DB",0
"201402","RTT","AV",9
"201402","CFT","DB",424879
"201402","TMFT","DB",0
"201402","LMC","DB",937265
"201402","MFT","DB",790199
"201402","LWT","DB",3165590
"201402","LMCSL","DB",1748793
"201402","TMFT","AV",0
"201402","HHS","DB",172646
"201402","KTCT","AV",45924
"201402","STK","AV",125746
"201402","LMCSL","AV",1845537
"201403","RTT","AV",0
"201403","TMFT","AV",0
"201403","MFT","AV",646808
"201403","MKT","AV",160419
"201403","KTCT","AV",44912
"201403","TMFT","DB",0
"201403","KTCT","DB",46885
"201403","LMC","DB",1032421
"201403","MKT","DB",107677
"201403","SZB","DB",1489636
"201403","CFT","AV",324071
"201403","SZB","AV",1457515
"201403","MFT","DB",813002
"201403","HHS","AV",182514
"201403","AIR","AV",1751984
"201403","HARB","DB",2320
"201403","STK","DB",131616
"201403","LWT","DB",3747163
"201403","LMC","AV",1336808
"201403","RTT","DB",7
"201403","AIR","DB",1711764
"201403","HHS","DB",181907
"201403","LWT","AV",3587127
"201403","CFT","DB",456055
"201403","LMCSL","DB",2085184
"201403","HARB","AV",3132
"201403","STK","AV",135715
"201403","LMCSL","AV",2164015
"201404","SZB","AV",1522183
"201404","KTCT","DB",66275
"201404","CFT","AV",346420
"201404","SZB","DB",1530592
"201404","HARB","AV",3199
"201404","MFT","AV",677126
"201404","AIR","AV",1892948
"201404","LMCSL","DB",2113225
"201404","RTT","DB",6
"201404","KTCT","AV",65097
"201404","TMFT","DB",0
"201404","CFT","DB",479968
"201404","LMCSL","AV",2182292
"201404","MFT","DB",835384
"201404","MKT","DB",106129
"201404","LWT","DB",3900316
"201404","HHS","DB",203199
"201404","LWT","AV",3744105
"201404","RTT","AV",33
"201404","STK","AV",144445
"201404","LMC","DB",1110625
"201404","HHS","AV",199751
"201404","TMFT","AV",0
"201404","MKT","AV",155912
"201404","AIR","DB",1861213
"201404","HARB","DB",2547
"201404","LMC","AV",1421231
"201404","STK","DB",140941
"201405","KTCT","DB",57411
"201405","HARB","DB",2461
"201405","SZB","AV",1407054
"201405","LMC","DB",1027364
"201405","MKT","AV",156319
"201405","SZB","DB",1471891
"201405","CFT","AV",297406
"201405","LMCSL","DB",2044092
"201405","LWT","DB",3560811
"201405","TMFT","AV",0
"201405","STK","AV",124118
"201405","MFT","DB",742074
"201405","RTT","AV",4
"201405","LMC","AV",1232418
"201405","TMFT","DB",0
"201405","HHS","DB",178375
"201405","LMCSL","AV",2089164
"201405","RTT","DB",12
"201405","LWT","AV",3356624
"201405","CFT","DB",402390
"201405","STK","DB",122089
"201405","KTCT","AV",56587
"201405","MFT","AV",612878
"201405","MKT","DB",107396
"201405","HARB","AV",2603
"201405","HHS","AV",182052
"201405","AIR","AV",1768749
"201405","AIR","DB",1715845
"201406","SZB","AV",1418074
"201406","MKT","AV",156969
"201406","AIR","AV",1793732
"201406","TMFT","DB",0
"201406","KTCT","AV",59566
"201406","SZB","DB",1452218
"201406","RTT","DB",7
"201406","LWT","AV",3359795
"201406","MKT","DB",106934
"201406","LWT","DB",3476764
"201406","LMC","DB",1005411
"201406","TMFT","AV",0
"201406","CFT","AV",302016
"201406","AIR","DB",1756238
"201406","HHS","AV",171529
"201406","STK","AV",123030
"201406","LMC","AV",1220148
"201406","HARB","DB",2069
"201406","LMCSL","AV",2104709
"201406","CFT","DB",401516
"201406","MFT","AV",633937
"201406","STK","DB",117563
"201406","KTCT","DB",58871
"201406","HHS","DB",171859
"201406","RTT","AV",12
"201406","HARB","AV",2504
"201406","LMCSL","DB",2034222
"201406","MFT","DB",748653
"201407","AIR","AV",1939530
"201407","MFT","AV",708092
"201407","LWT","DB",3768246
"201407","HARB","AV",2542
"201407","TMFT","DB",0
"201407","MFT","DB",873642
"201407","SZB","DB",1559929
"201407","CFT","AV",334409
"201407","LMCSL","AV",2221326
"201407","HARB","DB",3096
"201407","STK","AV",133204
"201407","LWT","AV",3595646
"201407","MKT","AV",168183
"201407","HHS","DB",189978
"201407","LMC","AV",1384759
"201407","AIR","DB",1909656
"201407","MKT","DB",107410
"201407","SZB","AV",1548532
"201407","KTCT","AV",60504
"201407","RTT","DB",3
"201407","KTCT","DB",62042
"201407","LMCSL","DB",2152371
"201407","LMC","DB",1103643
"201407","CFT","DB",466025
"201407","STK","DB",125335
"201407","HHS","AV",195347
"201407","RTT","AV",7
"201407","TMFT","AV",0
"201408","KTCT","DB",76215
"201408","MKT","DB",124839
"201408","MFT","AV",806806
"201408","LWT","DB",4084364
"201408","SZB","DB",1720444
"201408","RTT","DB",11
"201408","LMC","DB",1201721
"201408","TMFT","DB",0
"201408","LWT","AV",3942093
"201408","RTT","AV",12
"201408","HHS","AV",209170
"201408","STK","DB",139034
"201408","CFT","AV",383286
"201408","AIR","DB",1869796
"201408","TMFT","AV",0
"201408","KTCT","AV",76904
"201408","CFT","DB",516924
"201408","MFT","DB",982277
"201408","LMC","AV",1483621
"201408","LMCSL","AV",2439117
"201408","MKT","AV",202833
"201408","STK","AV",150791
"201408","HARB","AV",2296
"201408","SZB","AV",1709071
"201408","LMCSL","DB",2366737
"201408","HARB","DB",2022
"201408","HHS","DB",200334
"201408","AIR","AV",2092072
"201409","CFT","AV",287151
"201409","CFT","DB",370906
"201409","MKT","AV",202380
"201409","SZB","DB",1523147
"201409","TMFT","AV",0
"201409","SZB","AV",1517453
"201409","MFT","DB",760441
"201409","HARB","DB",1892
"201409","RTT","DB",1
"201409","AIR","DB",1720169
"201409","LWT","DB",3490330
"201409","STK","AV",130525
"201409","TMFT","DB",0
